13.36;71.0;756.0605
12.94;71.0;756.0605
13.06;71.0;756.0605
12.3;76.0;756.0605
12.32;76.0;756.0605
12.62;76.0;756.0605
12.43;76.0;756.0605
12.63;76.0;756.0605
11.64;81.0;756.0605
8.77;93.0;756.0605
8.87;93.0;755.3104
8.87;93.0;758.31067
8.69;93.0;758.31067
8.6;93.0;758.31067
8.08;100.0;758.31067
7.91;93.0;758.31067
7.53;100.0;758.31067
7.62;100.0;758.31067
9.67;93.0;762.81104
9.69;87.0;762.81104
9.36;100.0;762.81104
9.47;100.0;762.81104
9.46;100.0;762.81104
9.37;100.0;762.81104
8.92;100.0;762.81104
8.89;97.0;762.81104
8.77;100.0;763.5611
8.61;100.0;763.5611
8.41;100.0;763.5611
